Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
1,James Abankwah,ie IRL,Dif.Cen,Udinese,21-034,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1
2,Saud Abdulhamid,sa KSA,Dif,Roma,25-216,1999,3,1,142,1.6,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1
3,Oliver Abildgaard,dk DEN,Cen,Como,28-254,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4,Tammy Abraham,eng ENG,Att,Roma,27-140,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5,Tammy Abraham,eng ENG,Att,Milan,27-140,1997,19,9,882,9.8,2,2,4,1,1,2,0,0,6.1,4.4,1.2,5.6
6,Federico Accornero,it ITA,Cen,Genoa,21-014,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7,Francesco Acerbi,it ITA,Dif,Inter,37-009,1988,11,11,850,9.4,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5
8,Che Adams,sct SCO,Att,Torino,28-221,1996,24,19,1.666,18.5,7,3,10,7,0,0,1,0,4.8,4.8,1.8,6.6
9,Yacine Adli,fr FRA,Cen,Fiorentina,24-205,2000,20,14,1.120,12.4,3,4,7,3,0,0,3,1,0.5,0.5,2.2,2.6
10,Vasilije Adžić,me MNE,Cen.Att,Juventus,18-283,2006,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11,Michel Aebischer,ch SUI,Cen,Bologna,28-044,1997,8,5,382,4.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4
12,Honest Ahanor,it ITA,Dif,Genoa,16-362,2008,2,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
13,Junior Ajayi,ci CIV,Att,Hellas Verona,20-131,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
14,Jean-Daniel Akpa-Akpro,ci CIV,Cen.Dif,Monza,32-131,1992,4,3,228,2.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1
15,David Akpan Ankeye,ng NGA,Att.Cen,Genoa,23-005,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
16,Faride Alidou,de GER,Att.Cen,Hellas Verona,23-216,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
17,Pontus Almqvist,se SWE,Att.Cen,Parma,25-224,1999,22,5,737,8.2,1,1,2,1,0,0,2,0,1.3,1.3,1.3,2.7
18,Giorgio Altare,it ITA,Dif,Venezia,26-194,1998,12,8,753,8.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3
19,Sofyan Amrabat,ma MAR,Cen,Fiorentina,28-182,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1
20,Angeliño,es ESP,Dif,Roma,28-046,1997,25,24,2.082,23.1,1,1,2,1,0,0,1,0,0.5,0.5,2.1,2.6
21,Lorenzo Anghelè,it ITA,Att,Juventus,19-359,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22,Faustino Anjorin,eng ENG,Cen,Empoli,23-088,2001,17,13,983,10.9,0,3,3,0,0,0,2,0,0.8,0.8,1.6,2.4
23,Marko Arnautović,at AUT,Att,Inter,35-306,1989,9,0,170,1.9,1,1,2,1,0,0,1,0,1.4,1.4,0.4,1.8
24,Kristjan Asllani,al ALB,Cen,Inter,22-347,2002,14,5,539,6.0,0,2,2,0,0,0,3,0,0.8,0.8,1.6,2.4
25,Arthur Atta,fr FRA,Cen.Att,Udinese,22-036,2003,15,2,419,4.7,0,1,1,0,0,0,2,0,0.3,0.3,0.6,0.8
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
26,Emil Audero,it ITA,Por,Como,28-032,1997,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
27,Tommaso Augello,it ITA,Dif.Att,Cagliari,30-173,1994,25,19,1.667,18.5,0,3,3,0,0,0,2,0,0.2,0.2,3.1,3.4
28,Carlos Augusto,br BRA,Dif.Att,Inter,26-043,1999,18,7,903,10.0,2,1,3,2,0,0,0,0,1.1,1.1,0.8,1.9
29,Yann Aurel Bisseck,de GER,Dif,Inter,24-082,2000,15,10,934,10.4,1,1,2,1,0,0,3,0,1.5,1.5,0.5,2.0
30,Paulo Azzi,br BRA,Dif,Cagliari,30-219,1994,6,5,426,4.7,0,0,0,0,0,0,2,0,0.5,0.5,0.9,1.4
31,Oussama El Azzouzi,ma MAR,Cen,Bologna,23-266,2001,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
32,Jacopo Bacci,it ITA,Cen,Empoli,19-245,2005,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
33,Milan Badelj,hr CRO,Cen,Genoa,35-360,1989,20,18,1.294,14.4,1,0,1,1,0,0,1,0,1.0,1.0,1.1,2.1
34,Mitchel Bakker,nl NED,Cen,Atalanta,24-244,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
35,Tommaso Baldanzi,it ITA,Cen.Att,Roma,21-333,2003,19,2,531,5.9,1,1,2,1,0,0,1,0,1.1,1.1,0.3,1.4
36,Keita Baldé,sn SEN,Att,Monza,29-348,1995,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
37,Botond Balogh,hu HUN,Dif,Parma,22-258,2002,21,19,1.631,18.1,0,1,1,0,0,0,4,0,0.2,0.2,0.1,0.3
38,Mario Balotelli,it ITA,Att.Cen,Genoa,34-191,1990,6,0,62,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0
39,Lameck Banda,zm ZAM,Att.Cen,Lecce,24-021,2001,10,6,500,5.6,0,1,1,0,0,0,1,0,0.7,0.7,0.9,1.6
40,Daniel Bandeira,pt POR,Cen,Hellas Verona,24-314,2000,11,4,407,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2
41,Mattia Bani,it ITA,Dif,Genoa,31-071,1993,15,15,1.189,13.2,0,0,0,0,0,0,3,0,0.7,0.7,0.2,0.8
42,Antonín Barák,cz CZE,Cen,Fiorentina,30-078,1994,1,1,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4
43,Federico Barba,it ITA,Dif,Como,31-171,1993,7,5,431,4.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2
44,Nicolò Barella,it ITA,Cen,Inter,28-012,1997,22,21,1.659,18.4,3,5,8,3,0,0,3,0,1.8,1.8,3.3,5.1
45,Davide Bartesaghi,it ITA,Dif,Milan,19-052,2005,2,0,50,0.6,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1
46,Federico Baschirotto,it ITA,Dif,Lecce,28-152,1996,25,25,2.250,25.0,0,0,0,0,0,0,2,0,0.6,0.6,0.0,0.7
47,Daniele Baselli,it ITA,Cen,Como,32-344,1992,2,1,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
48,Alessandro Bastoni,it ITA,Dif,Inter,25-312,1999,24,23,1.765,19.6,1,4,5,1,0,0,3,0,0.5,0.5,2.1,2.5
49,Reda Belahyane,ma MAR,Cen,Hellas Verona,20-263,2004,22,17,1.658,18.4,0,2,2,0,0,0,6,1,0.2,0.2,1.0,1.3
50,Raoul Bellanova,it ITA,Dif,Torino,24-278,2000,1,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
51,Raoul Bellanova,it ITA,Dif,Atalanta,24-278,2000,21,16,1.460,16.2,0,6,6,0,0,0,2,0,0.8,0.8,3.1,3.9
52,Andrea Belotti,it ITA,Att,Como,31-061,1993,18,7,593,6.6,2,0,2,2,0,0,1,0,2.5,2.5,0.4,2.8
53,Lucas Beltrán,ar ARG,Cen.Att,Fiorentina,23-327,2001,21,15,1.332,14.8,4,4,8,2,2,2,2,0,3.9,2.4,1.7,4.1
54,Adrian Benedyczak,pl POL,Att.Cen,Parma,24-087,2000,8,2,197,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3
55,Ismaël Bennacer,dz ALG,Cen,Milan,27-080,1997,6,4,300,3.3,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2
56,Medon Berisha,al ALB,Cen,Lecce,21-121,2003,7,3,252,2.8,0,1,1,0,0,0,0,0,0.3,0.3,0.3,0.5
57,Adrian Bernabe,es ESP,Cen,Parma,23-269,2001,13,13,1.062,11.8,0,0,0,0,0,0,1,0,0.7,0.7,1.0,1.7
58,Antoine Bernede,fr FRA,Cen,Hellas Verona,25-269,1999,2,1,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
59,Sam Beukema,nl NED,Dif,Bologna,26-094,1998,23,22,2.025,22.5,0,1,1,0,0,0,0,0,1.0,1.0,0.9,1.9
60,Alessandro Bianco,it ITA,Cen,Monza,22-141,2002,21,16,1.518,16.9,1,0,1,1,0,0,5,0,1.1,1.1,0.4,1.5
61,Alessandro Bianco,it ITA,Cen,Fiorentina,22-141,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
62,Jaka Bijol,si SVN,Dif,Udinese,26-014,1999,23,23,2.070,23.0,1,0,1,1,0,0,7,0,1.9,1.9,0.4,2.4
63,Cristiano Biraghi,it ITA,Dif,Torino,32-171,1992,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2
64,Cristiano Biraghi,it ITA,Dif,Fiorentina,32-171,1992,8,5,433,4.8,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5
65,Samuele Birindelli,it ITA,Dif.Cen,Monza,25-215,1999,9,6,555,6.2,1,0,1,1,0,0,1,0,0.4,0.4,1.0,1.4
66,Bjarki Bjarkason,is ISL,Dif.Cen,Venezia,24-284,2000,8,1,137,1.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1
67,Emil Bohinen,no NOR,Cen,Genoa,25-344,1999,3,1,166,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2
68,Warren Bondo,fr FRA,Cen,Monza,21-157,2003,20,19,1.618,18.0,0,0,0,0,0,0,5,1,0.4,0.4,0.3,0.7
69,Kevin Bonifazi,it ITA,Dif,Lecce,28-276,1996,3,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
70,Ange-Yoan Bonny,fr FRA,Att,Parma,21-117,2003,24,18,1.584,17.6,4,2,6,3,1,2,2,0,6.5,4.9,1.7,6.7
71,Edoardo Bove,it ITA,Cen.Att,Fiorentina,22-279,2002,12,11,851,9.5,1,2,3,1,0,0,3,0,0.6,0.6,1.5,2.1
72,Domagoj Bradarić,hr CRO,Dif,Hellas Verona,25-071,1999,18,14,1.120,12.4,0,0,0,0,0,0,5,0,0.1,0.1,1.6,1.7
73,Matthias Braunöder,at AUT,Cen,Como,22-329,2002,8,3,268,3.0,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1
74,Iker Bravo,es ESP,Att.Cen,Udinese,20-037,2005,18,2,319,3.5,2,1,3,2,0,0,2,0,0.6,0.6,0.4,1.0
75,Gleison Bremer,br BRA,Dif,Juventus,27-338,1997,6,6,540,6.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
76,Brenner,br BRA,Cen.Att,Udinese,25-034,2000,9,5,386,4.3,1,2,3,1,0,0,0,0,0.6,0.6,0.5,1.1
77,Marco Brescianini,it ITA,Cen,Atalanta,25-030,2000,19,7,733,8.1,3,2,5,3,0,0,1,0,2.7,2.7,0.9,3.7
78,Arvid Brorsson,se SWE,Dif,Monza,25-287,1999,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
79,Tajon Buchanan,ca CAN,Dif.Att,Inter,26-011,1999,6,0,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1
80,Alessandro Buongiorno,it ITA,Dif,Napoli,25-258,1999,16,16,1.411,15.7,1,0,1,1,0,0,1,0,0.8,0.8,0.6,1.4
81,Rareș-Cătălin Burnete,ro ROU,Att,Lecce,21-019,2004,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
82,Gianluca Busio,us USA,Cen,Venezia,22-267,2002,22,19,1.764,19.6,1,0,1,1,0,0,3,0,1.6,1.6,0.9,2.5
83,Jean Butez,fr FRA,Por,Como,29-256,1995,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
84,Liberato Cacace,nz NZL,Dif.Cen,Empoli,24-145,2000,21,12,1.204,13.4,2,2,4,2,0,0,4,0,1.6,1.6,0.9,2.4
85,Davide Calabria,it ITA,Dif,Bologna,28-075,1996,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
86,Davide Calabria,it ITA,Dif,Milan,28-075,1996,7,4,316,3.5,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5
87,Luca Caldirola,it ITA,Dif,Monza,34-018,1991,7,6,490,5.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2
88,Hakan Çalhanoğlu,tr TUR,Cen,Inter,31-011,1994,17,16,1.125,12.5,4,2,6,1,3,4,3,0,3.6,0.5,3.3,3.8
89,Drissa Camara,ci CIV,Cen.Att,Parma,23-001,2002,15,1,369,4.1,0,0,0,0,0,0,3,0,1.2,1.2,0.3,1.6
90,Francesco Camarda,it ITA,Att.Cen,Milan,16-346,2008,8,1,158,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.6
91,Nicolò Cambiaghi,it ITA,Att,Bologna,24-053,2000,4,0,73,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3
92,Andrea Cambiaso,it ITA,Dif.Att,Juventus,24-365,2000,22,17,1.536,17.1,2,0,2,2,0,0,4,0,0.5,0.5,2.0,2.4
93,Matteo Cancellieri,it ITA,Att.Cen,Parma,23-007,2002,23,16,1.185,13.2,3,0,3,3,0,0,1,1,2.4,2.4,0.6,3.0
94,Fali Candé,gw GNB,Dif,Venezia,27-026,1998,4,4,360,4.0,0,1,1,0,0,0,1,0,0.3,0.3,0.5,0.8
95,Antonio Candela,it ITA,Dif,Venezia,24-298,2000,14,12,1.008,11.2,0,1,1,0,0,0,2,0,0.3,0.3,0.8,1.2
96,Gianluca Caprari,it ITA,Cen.Att,Monza,31-204,1993,23,12,1.040,11.6,2,1,3,0,2,2,3,0,2.5,0.9,1.5,2.5
97,Elia Caprile,it ITA,Por,Cagliari,23-178,2001,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
98,Elia Caprile,it ITA,Por,Napoli,23-178,2001,4,3,325,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
99,Francesco Caputo,it ITA,Att,Empoli,37-197,1987,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,Maxence Caqueret,fr FRA,Cen,Como,25-004,2000,5,3,250,2.8,0,2,2,0,0,0,1,0,0.0,0.0,0.5,0.5
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
101,Andrea Carboni,it ITA,Dif,Monza,24-015,2001,19,18,1.591,17.7,0,1,1,0,0,0,4,0,0.2,0.2,0.3,0.5
102,Franco Carboni,it ITA,Dif,Venezia,21-321,2003,6,2,166,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1
103,Marco Carnesecchi,it ITA,Por,Atalanta,24-233,2000,22,22,1.980,22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2
104,Cesare Casadei,it ITA,Cen,Torino,22-040,2003,2,1,110,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3
105,Nicolò Casale,it ITA,Dif,Bologna,27-005,1998,9,5,485,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3
106,Nicolò Casale,it ITA,Dif,Lazio,27-005,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
107,Federico Cassa,it ITA,Cen.Att,Atalanta,19-018,2006,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
108,Valentín Castellanos,ar ARG,Att,Lazio,26-139,1998,22,21,1.774,19.7,9,3,12,7,2,3,6,1,12.1,10.0,2.5,12.5
109,Santiago Castro,ar ARG,Att,Bologna,20-143,2004,24,20,1.699,18.9,6,4,10,6,0,1,4,0,4.9,4.1,2.2,6.4
110,Gaetano Castrovilli,it ITA,Cen,Monza,28-002,1997,2,0,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1
111,Gaetano Castrovilli,it ITA,Cen.Att,Lazio,28-002,1997,9,1,148,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8
112,Danilo Cataldi,it ITA,Cen,Fiorentina,30-197,1994,16,14,967,10.7,3,0,3,3,0,0,0,0,0.9,0.9,0.5,1.4
113,Zeki Çelik,tr TUR,Dif,Roma,28-002,1997,22,18,1.497,16.6,0,1,1,0,0,0,3,0,0.5,0.5,1.2,1.6
114,Alberto Cerri,it ITA,Att,Como,28-309,1996,5,0,87,1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0
115,Gabriel Charpentier,cg CGO,Att,Parma,25-278,1999,10,0,271,3.0,1,2,3,1,0,0,1,0,1.3,1.3,0.9,2.3
116,Walid Cheddira,ma MAR,Att,Napoli,27-028,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
117,Leandro Chichizola,ar ARG,Por,Parma,34-329,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
118,Samuel Chukwueze,ng NGA,Att.Cen,Milan,25-273,1999,19,9,775,8.6,2,0,2,2,0,0,0,0,2.3,2.3,2.2,4.5
119,Aaron Ciammaglichella,it ITA,Cen,Torino,20-024,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
120,Alessandro Circati,au AUS,Dif,Parma,21-132,2003,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
121,Alphadjo Cissè,it ITA,Att.Cen,Hellas Verona,18-120,2006,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
122,Patrick Ciurria,it ITA,Cen.Dif,Monza,30-010,1995,9,8,676,7.5,1,1,2,1,0,0,1,0,0.7,0.7,1.7,2.4
123,Saúl Coco,gq EQG,Dif,Torino,26-010,1999,23,23,2.070,23.0,2,0,2,2,0,0,8,0,1.0,1.0,0.0,1.0
124,Lorenzo Colombo,it ITA,Att.Cen,Empoli,22-348,2002,25,22,1.786,19.8,5,2,7,4,1,1,2,0,5.5,4.7,2.0,6.7
125,Andrea Colpani,it ITA,Att.Cen,Fiorentina,25-284,1999,22,18,1.396,15.5,2,1,3,2,0,0,1,0,2.7,2.7,1.3,3.9
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
126,Florinel Coman,ro ROU,Att.Cen,Cagliari,26-315,1998,2,0,46,0.5,1,0,1,1,0,0,1,0,0.0,0.0,0.0,0.0
127,Pietro Comuzzo,it ITA,Dif,Fiorentina,19-365,2005,21,19,1.730,19.2,0,0,0,0,0,0,5,0,0.4,0.4,0.5,0.8
128,Francisco Conceição,pt POR,Att,Juventus,22-067,2002,17,9,949,10.5,3,3,6,3,0,0,5,1,1.4,1.4,3.8,5.1
129,Diego Coppola,it ITA,Dif,Hellas Verona,21-053,2003,22,21,1.847,20.5,1,0,1,1,0,0,9,0,0.5,0.5,0.1,0.6
130,Maxwel Cornet,ci CIV,Att.Cen,Genoa,28-145,1996,3,1,99,1.1,1,1,2,1,0,0,0,0,0.5,0.5,0.2,0.7
131,Joaquín Correa,ar ARG,Att.Cen,Inter,30-190,1994,6,1,163,1.8,1,2,3,1,0,0,1,0,0.8,0.8,1.4,2.2
132,Lassana Coulibaly,ml MLI,Cen,Lecce,28-315,1996,25,17,1.641,18.2,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.7
133,Woyo Coulibaly,fr FRA,Dif,Parma,25-275,1999,14,12,1.084,12.0,0,1,1,0,0,0,1,1,0.1,0.1,0.9,1.1
134,Bryan Cristante,it ITA,Cen,Roma,29-353,1995,17,14,1.162,12.9,1,0,1,1,0,0,5,0,0.9,0.9,0.3,1.2
135,Domen Črnigoj,si SVN,Cen,Venezia,29-093,1995,8,1,136,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
136,Juan Cuadrado,co COL,Dif.Cen,Atalanta,36-269,1988,13,3,494,5.5,0,2,2,0,0,0,1,0,0.7,0.7,1.2,1.8
137,Patrick Cutrone,it ITA,Att,Como,27-047,1998,24,19,1.644,18.3,6,3,9,6,0,1,1,0,5.4,4.7,1.8,6.5
138,Wylan Cyprien,fr FRA,Cen,Parma,30-022,1995,2,0,28,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2
139,Danilo D'Ambrosio,it ITA,Dif,Monza,36-163,1988,15,7,677,7.5,0,0,0,0,0,0,2,1,0.3,0.3,0.2,0.5
140,Lucas Da Cunha,fr FRA,Cen,Como,23-255,2001,23,17,1.522,16.9,1,1,2,1,0,0,2,0,0.6,0.6,2.0,2.5
141,Samuel Dahl,se SWE,Dif.Cen,Roma,24-352,2000,2,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
142,Thijs Dallinga,nl NED,Att.Cen,Bologna,24-200,2000,20,4,522,5.8,2,0,2,2,0,0,1,0,2.9,2.9,0.4,3.3
143,Maat Daniel Caprini,it ITA,Att,Fiorentina,19-008,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
144,Flavius Daniliuc,at AUT,Dif,Hellas Verona,23-298,2001,16,8,904,10.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2
145,Danilo,br BRA,Dif,Juventus,33-219,1991,12,6,581,6.5,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5
146,Matteo Darmian,it ITA,Dif,Inter,35-079,1989,20,13,1.160,12.9,2,2,4,2,0,0,2,0,1.2,1.2,1.1,2.4
147,Juan David Cabal,co COL,Dif,Juventus,24-042,2001,7,6,460,5.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2
148,Keinan Davis,eng ENG,Att,Udinese,27-006,1998,14,6,688,7.6,2,1,3,2,0,0,2,0,1.5,1.5,2.0,3.5
149,Paweł Dawidowicz,pl POL,Dif,Hellas Verona,29-275,1995,16,14,1.060,11.8,0,0,0,0,0,0,5,1,0.2,0.2,0.0,0.2
150,Charles De Ketelaere,be BEL,Cen.Att,Atalanta,23-346,2001,24,19,1.515,16.8,5,5,10,5,0,0,1,0,4.0,4.0,5.2,9.2
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
