Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
151,Mattia De Sciglio,it ITA,Dif,Empoli,32-122,1992,12,5,607,6.7,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.7
152,Lorenzo De Silvestri,it ITA,Dif,Bologna,36-272,1988,13,9,685,7.6,1,0,1,1,0,0,1,0,0.5,0.5,0.3,0.8
153,Koni De Winter,be BEL,Dif,Genoa,22-252,2002,14,13,1.179,13.1,3,0,3,3,0,0,5,0,1.6,1.6,0.2,1.8
154,Alessandro Deiola,it ITA,Cen,Cagliari,29-202,1995,19,10,915,10.2,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.2
155,Enrico Del Prato,it ITA,Dif,Parma,25-101,1999,22,20,1.867,20.7,4,0,4,4,0,0,5,0,1.9,1.9,0.8,2.7
156,Fisayo Dele-Bashiru,ng NGA,Cen.Att,Lazio,24-013,2001,15,8,670,7.4,3,0,3,3,0,0,0,0,0.9,0.9,0.3,1.2
157,Ali Dembélé,fr FRA,Dif,Torino,21-045,2004,9,1,115,1.3,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0
158,Michele Di Gregorio,it ITA,Por,Juventus,27-207,1997,20,20,1.800,20.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
159,Giovanni Di Lorenzo,it ITA,Dif,Napoli,31-199,1993,25,25,2.250,25.0,3,1,4,3,0,0,3,0,2.4,2.4,3.0,5.4
160,Boulaye Dia,sn SEN,Cen.Att,Lazio,28-095,1996,22,16,1.317,14.6,7,3,10,7,0,0,2,0,3.6,3.6,3.0,6.6
161,Assane Diao,es ESP,Att.Cen,Como,19-165,2005,7,6,585,6.5,4,0,4,4,0,0,2,0,1.6,1.6,0.2,1.8
162,Federico Dimarco,it ITA,Dif.Att,Inter,27-101,1997,22,21,1.545,17.2,3,4,7,3,0,0,2,0,2.4,2.4,4.4,6.7
163,Berat Djimsiti,al ALB,Dif,Atalanta,32-000,1993,22,20,1.652,18.4,1,1,2,1,0,0,4,0,2.1,2.1,0.8,2.9
164,Dodô,br BRA,Dif,Fiorentina,26-094,1998,24,24,2.136,23.7,0,2,2,0,0,0,6,0,0.8,0.8,2.6,3.4
165,Benjamín Domínguez,ar ARG,Att,Bologna,21-153,2003,12,11,806,9.0,3,1,4,3,0,0,0,0,1.6,1.6,0.3,2.0
166,Patrick Dorgu,dk DEN,Dif.Att,Lecce,20-116,2004,21,21,1.840,20.4,3,1,4,3,0,0,2,1,3.3,3.3,1.5,4.8
167,Alberto Dossena,it ITA,Dif,Como,26-129,1998,21,20,1.763,19.6,0,2,2,0,0,0,1,1,0.8,0.8,0.6,1.4
168,Issa Doumbia,ci CIV,Cen,Venezia,21-126,2003,12,6,513,5.7,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6
169,Anastasios Douvikas,gr GRE,Att,Como,25-201,1999,2,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
170,Artem Dovbyk,ua UKR,Att,Roma,27-243,1997,22,20,1.767,19.6,8,2,10,6,2,2,0,0,8.7,7.1,2.0,9.1
171,Ondrej Duda,sk SVK,Cen,Hellas Verona,30-076,1994,16,15,1.341,14.9,0,2,2,0,0,0,9,1,0.6,0.6,2.4,3.0
172,Denzel Dumfries,nl NED,Dif.Att,Inter,28-307,1996,21,15,1.426,15.8,6,1,7,6,0,0,4,0,4.9,4.9,2.0,6.9
173,Alfred Duncan,gh GHA,Cen,Venezia,31-346,1993,11,10,795,8.8,0,0,0,0,0,0,1,0,0.7,0.7,0.8,1.5
174,Paulo Dybala,ar ARG,Att.Cen,Roma,31-096,1993,21,15,1.287,14.3,6,2,8,3,3,3,2,0,6.2,3.9,4.7,8.6
175,Enzo Ebosse,cm CMR,Dif,Udinese,25-345,1999,2,0,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
176,Éderson,br BRA,Cen,Atalanta,25-227,1999,25,23,2.042,22.7,3,1,4,3,0,0,3,0,2.7,2.7,3.0,5.7
177,Kingsley Ehizibue,nl NED,Dif,Udinese,29-270,1995,22,21,1.684,18.7,0,1,1,0,0,0,4,0,1.1,1.1,1.3,2.4
178,Jeff Ekhator,it ITA,Att.Cen,Genoa,18-100,2006,16,3,471,5.2,1,1,2,1,0,0,1,0,1.3,1.3,0.6,1.8
179,Jurgen Ekkelenkamp,nl NED,Cen,Udinese,24-320,2000,21,10,1.095,12.2,3,2,5,3,0,0,1,0,1.5,1.5,0.9,2.4
180,Emmanuel Ekong,se SWE,Cen.Att,Empoli,22-239,2002,15,0,186,2.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2
181,Caleb Ekuban,gh GHA,Att,Genoa,30-333,1994,10,2,342,3.8,1,2,3,1,0,0,0,0,2.0,2.0,0.3,2.3
182,Mikael Ellertsson,is ISL,Dif.Cen,Venezia,22-345,2002,24,19,1.629,18.1,2,1,3,2,0,0,0,0,1.0,1.0,0.7,1.7
183,Elif Elmas,mk MKD,Att,Torino,25-148,1999,1,0,29,0.3,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.3
184,Emerson,br BRA,Dif,Milan,26-036,1999,17,16,1.377,15.3,0,0,0,0,0,0,5,0,0.4,0.4,0.7,1.1
185,Yannik Engelhardt,de GER,Cen.Dif,Como,24-012,2001,18,11,1.058,11.8,1,1,2,1,0,0,3,0,0.6,0.6,1.4,1.9
186,Martin Erlic,hr CRO,Dif,Bologna,27-026,1998,5,3,224,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
187,Sebastiano Esposito,it ITA,Att.Cen,Empoli,22-232,2002,21,15,1.406,15.6,8,0,8,7,1,2,1,0,4.8,3.2,1.5,4.7
188,Nahuel Estévez,ar ARG,Cen,Parma,29-097,1995,7,4,356,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1
189,Giovanni Fabbian,it ITA,Cen,Bologna,22-036,2003,19,5,704,7.8,2,0,2,2,0,0,2,0,1.5,1.5,0.4,1.9
190,Alieu Fadera,gm GAM,Att.Dif,Como,23-108,2001,21,20,1.560,17.3,1,3,4,1,0,0,1,1,1.6,1.6,3.8,5.4
191,Nicolò Fagioli,it ITA,Cen.Dif,Fiorentina,24-007,2001,2,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
192,Nicolò Fagioli,it ITA,Cen,Juventus,24-007,2001,17,5,571,6.3,0,0,0,0,0,0,4,0,0.6,0.6,0.1,0.7
193,Wladimiro Falcone,it ITA,Por,Lecce,29-313,1995,25,25,2.250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
194,Davide Faraoni,it ITA,Dif.Cen,Hellas Verona,33-117,1991,5,1,136,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3
195,Jacopo Fazzini,it ITA,Cen.Att,Empoli,21-340,2003,12,9,769,8.5,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0
196,Mattia Felici,it ITA,Cen.Att,Cagliari,23-308,2001,15,7,726,8.1,0,3,3,0,0,0,1,0,0.6,0.6,1.0,1.6
197,João Félix,pt POR,Cen,Milan,25-101,1999,2,2,170,1.9,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9
198,Lewis Ferguson,sct SCO,Cen,Bologna,25-179,1999,7,3,320,3.6,1,0,1,0,1,1,0,0,0.8,0.0,0.3,0.3
199,Daniel Fila,cz CZE,Att,Venezia,22-182,2002,2,2,135,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1
200,Youssouf Fofana,fr FRA,Cen,Milan,26-040,1999,22,21,1.738,19.3,1,4,5,1,0,0,5,0,0.8,0.8,2.1,2.9
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
201,Michael Folorunsho,it ITA,Att.Cen,Fiorentina,27-012,1998,6,4,411,4.6,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2
202,Michael Folorunsho,it ITA,Att.Cen,Napoli,27-012,1998,6,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
203,Omari Forson,eng ENG,Cen.Att,Monza,20-214,2004,5,0,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
204,Davide Frattesi,it ITA,Cen,Inter,25-120,1999,20,5,825,9.2,4,1,5,4,0,0,1,0,2.3,2.3,0.7,3.0
205,Morten Frendrup,dk DEN,Cen,Genoa,23-318,2001,24,24,2.113,23.5,2,0,2,2,0,0,3,0,1.2,1.2,0.5,1.7
206,Martin Frese,dk DEN,Dif,Hellas Verona,27-046,1998,5,3,336,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1
207,Remo Freuler,ch SUI,Cen,Bologna,32-310,1992,24,24,2.123,23.6,0,2,2,0,0,0,4,0,0.8,0.8,1.2,2.0
208,Matteo Gabbia,it ITA,Dif,Milan,25-121,1999,15,13,1.177,13.1,1,0,1,1,0,0,3,0,0.8,0.8,0.1,0.9
209,Alessandro Gabrielloni,it ITA,Att.Cen,Como,30-224,1994,11,0,109,1.2,1,1,2,1,0,0,1,0,0.3,0.3,0.8,1.0
210,Gianluca Gaetano,it ITA,Cen.Att,Cagliari,24-290,2000,18,8,775,8.6,1,2,3,1,0,0,0,0,3.9,3.9,0.9,4.8
211,Roberto Gagliardini,it ITA,Cen.Dif,Monza,30-318,1994,4,0,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2
212,Antonino Gallo,it ITA,Dif,Lecce,25-045,2000,18,18,1.511,16.8,0,2,2,0,0,0,1,1,0.1,0.1,2.2,2.3
213,Silvère Ganvoula M'Boussy,cg CGO,Att,Monza,28-242,1996,2,2,168,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
214,Federico Gatti,it ITA,Dif,Juventus,26-240,1998,23,22,1.929,21.4,1,0,1,1,0,0,2,0,2.3,2.3,0.4,2.7
215,David de Gea,es ESP,Por,Fiorentina,34-104,1990,22,22,1.980,22.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4
216,Valentin Gendrey,fr FRA,Dif,Lecce,24-243,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3
217,Daniele Ghilardi,it ITA,Dif,Hellas Verona,22-044,2003,14,12,1.180,13.1,0,0,0,0,0,0,5,0,0.4,0.4,0.1,0.6
218,Lautaro Gianetti,ar ARG,Dif,Udinese,31-098,1993,12,11,840,9.3,1,0,1,1,0,0,4,0,0.1,0.0,0.1,0.1
219,Samuel Gigot,fr FRA,Dif,Lazio,31-130,1993,9,2,267,3.0,2,0,2,2,0,0,2,0,1.1,1.1,0.0,1.1
220,Mario Gila,es ESP,Dif,Lazio,24-174,2000,21,21,1.821,20.2,1,0,1,1,0,0,5,0,0.8,0.8,0.3,1.0
221,Billy Gilmour,sct SCO,Cen,Napoli,23-253,2001,14,5,418,4.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4
222,Santiago Giménez,mx MEX,Att,Milan,23-307,2001,2,1,126,1.4,2,0,2,2,0,0,2,0,1.2,1.2,0.3,1.5
223,Gvidas Gineitis,lt LTU,Cen,Torino,20-310,2004,18,8,820,9.1,1,1,2,1,0,0,1,0,0.6,0.6,1.5,2.2
224,Ben Godfrey,eng ENG,Dif,Atalanta,27-035,1998,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
225,Saba Goglichidze,ge GEO,Dif,Empoli,20-239,2004,22,19,1.676,18.6,0,0,0,0,0,0,0,1,0.1,0.1,0.1,0.2
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
226,Edoardo Goldaniga,it ITA,Dif,Como,31-109,1993,20,16,1.452,16.1,0,0,0,0,0,0,9,1,0.7,0.7,0.1,0.8
227,Pierluigi Gollini,it ITA,Por,Genoa,29-338,1995,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
228,Nicolás González,ar ARG,Att.Cen,Juventus,26-319,1998,14,11,877,9.7,1,2,3,1,0,0,0,0,2.1,2.1,0.5,2.6
229,Robin Gosens,de GER,Dif,Fiorentina,30-229,1994,23,21,1.848,20.5,2,4,6,2,0,0,5,0,1.3,1.3,1.9,3.2
230,Lucas Gourna-Douath,fr FRA,Cen,Roma,21-198,2003,2,2,137,1.5,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1
231,Alberto Grassi,it ITA,Cen,Empoli,29-349,1995,16,15,1.176,13.1,0,0,0,0,0,0,6,0,0.5,0.5,0.2,0.7
232,Mattéo Guendouzi,fr FRA,Cen,Lazio,25-311,1999,25,25,2.203,24.5,1,3,4,1,0,0,3,0,0.9,0.9,2.6,3.5
233,Frederic Guilbert,fr FRA,Dif,Lecce,30-057,1994,20,20,1.588,17.6,0,0,0,0,0,0,2,2,0.2,0.2,1.3,1.4
234,Albert Guðmundsson,is ISL,Cen.Att,Fiorentina,27-249,1997,14,9,683,7.6,4,0,4,2,2,2,1,0,2.6,1.1,0.9,1.9
235,Emmanuel Gyasi,gh GHA,Dif.Att,Empoli,31-039,1994,25,25,2.207,24.5,2,1,3,2,0,0,4,0,2.8,2.8,0.5,3.2
236,Christian Gytkjær,dk DEN,Att,Venezia,34-289,1990,19,2,308,3.4,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.9
237,Nicolas Haas,ch SUI,Cen,Empoli,29-027,1996,10,2,287,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1
238,Saad El Haddad,ma MAR,Cen,Venezia,19-210,2005,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
239,Antoine Hainaut,fr FRA,Dif.Cen,Parma,23-001,2002,18,7,819,9.1,1,0,1,1,0,0,3,0,0.6,0.6,0.4,1.0
240,Mohamed Haj,tn TUN,Cen,Parma,19-330,2005,13,3,389,4.3,1,2,3,1,0,0,3,0,0.6,0.6,1.1,1.7
241,Ridgeciano Haps,sr SUR,Dif,Venezia,31-252,1993,15,11,1.013,11.3,0,0,0,0,0,0,3,0,1.1,1.1,0.4,1.5
242,Abdou Harroui,nl NED,Cen.Att,Hellas Verona,27-037,1998,10,5,463,5.1,1,2,3,1,0,0,1,0,2.2,2.2,0.4,2.6
243,Liam Henderson,sct SCO,Cen,Empoli,28-300,1996,24,16,1.463,16.3,0,2,2,0,0,0,7,0,0.3,0.3,2.6,2.8
244,Mario Hermoso,es ESP,Dif,Roma,29-246,1995,8,2,251,2.8,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1
245,Theo Hernández,fr FRA,Dif,Milan,27-136,1997,21,18,1.669,18.5,3,2,5,3,0,1,2,1,2.0,1.2,2.4,3.6
246,Hernani,br BRA,Cen,Parma,30-329,1994,16,12,976,10.8,3,1,4,0,3,3,4,0,2.7,0.4,0.8,1.2
247,Isak Hien,se SWE,Dif,Atalanta,26-037,1999,21,18,1.517,16.9,0,0,0,0,0,0,6,0,0.6,0.6,0.1,0.7
248,Emil Holm,se SWE,Dif,Bologna,24-282,2000,15,9,864,9.6,1,1,2,1,0,0,3,0,0.5,0.5,0.4,0.8
249,Mats Hummels,de GER,Dif,Roma,36-065,1988,9,7,599,6.7,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4
250,Elseid Hysaj,al ALB,Dif,Lazio,30-365,1994,6,2,204,2.3,0,2,2,0,0,0,0,0,0.0,0.0,0.9,0.9
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
251,Jay Idzes,id IDN,Dif,Venezia,24-262,2000,23,23,2.047,22.7,1,0,1,1,0,0,3,0,1.0,1.0,0.3,1.2
252,Jonathan Ikone,fr FRA,Att.Cen,Como,26-293,1998,3,0,68,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
253,Jonathan Ikone,fr FRA,Att.Cen,Fiorentina,26-293,1998,14,1,334,3.7,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9
254,Ivan Ilić,rs SRB,Cen,Torino,23-339,2001,12,8,716,8.0,1,0,1,1,0,0,3,0,0.9,0.9,0.6,1.6
255,Samuel Iling-Junior,eng ENG,Att.Cen,Bologna,21-138,2003,7,0,118,1.3,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.3
256,Alessio Iovine,it ITA,Dif.Att,Como,34-018,1991,9,3,377,4.2,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2
257,Gustav Isaksen,dk DEN,Att,Lazio,23-306,2001,25,19,1.435,15.9,3,2,5,3,0,0,4,0,2.6,2.6,1.1,3.7
258,Ardian Ismajli,al ALB,Dif,Empoli,28-142,1996,23,23,1.968,21.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1
259,Armando Izzo,it ITA,Dif,Monza,32-354,1992,23,22,1.929,21.4,0,1,1,0,0,0,10,0,0.3,0.3,0.7,1.0
260,Fellipe Jack,br BRA,Dif,Como,19-038,2006,6,0,126,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1
261,Ali Jasim,iq IRQ,Att.Dif,Como,21-030,2004,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
262,Gaby Jean,fr FRA,Dif,Lecce,25-000,2000,14,11,1.018,11.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1
263,Juan Jesus,br BRA,Dif,Napoli,33-254,1991,10,10,888,9.9,0,1,1,0,0,0,2,0,0.2,0.2,0.0,0.2
264,Alejandro Jiménez,es ESP,Att.Dif,Milan,19-287,2005,9,4,506,5.6,0,0,0,0,0,0,3,0,0.4,0.4,0.8,1.1
265,Þórir Jóhann Helgason,is ISL,Cen,Lecce,24-144,2000,9,6,514,5.7,0,1,1,0,0,0,0,0,0.6,0.6,0.7,1.4
266,Jesse Joronen,fi FIN,Por,Venezia,31-335,1993,8,7,703,7.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
267,Luka Jović,rs SRB,Att,Milan,27-058,1997,5,1,104,1.2,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.4
268,Mohamed Kaba,fr FRA,Cen,Lecce,23-115,2001,9,0,201,2.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3
269,Christian Kabasele,be BEL,Dif,Udinese,33-361,1991,13,9,916,10.2,1,0,1,1,0,0,0,0,0.8,0.8,0.2,1.0
270,Pierre Kalulu,fr FRA,Dif,Juventus,24-259,2000,19,18,1.617,18.0,1,0,1,1,0,0,2,0,0.7,0.7,0.2,0.8
271,Hassane Kamara,ci CIV,Dif,Udinese,30-351,1994,19,14,1.146,12.7,1,3,4,1,0,0,6,1,0.6,0.6,1.5,2.1
272,Yann Karamoh,fr FRA,Cen.Att,Torino,26-226,1998,20,10,838,9.3,0,1,1,0,0,0,1,0,1.2,1.2,0.9,2.1
273,Jesper Karlsson,se SWE,Att,Bologna,26-209,1998,7,3,298,3.3,1,0,1,1,0,0,1,0,0.7,0.7,0.1,0.8
274,Jesper Karlsson,se SWE,Att.Cen,Lecce,26-209,1998,6,1,113,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.5
275,Jesper Karlström,se SWE,Cen,Udinese,29-243,1995,24,23,2.037,22.6,0,2,2,0,0,0,5,0,0.5,0.5,0.7,1.2
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
276,Lior Kasa,il ISR,Cen.Att,Genoa,19-145,2005,5,1,155,1.7,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4
277,Grigoris Kastanos,cy CYP,Cen.Att,Hellas Verona,27-020,1998,18,8,717,8.0,1,1,2,1,0,0,2,0,0.7,0.7,1.5,2.2
278,Michael Kayode,it ITA,Dif.Att,Fiorentina,20-224,2004,5,1,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3
279,Moise Kean,it ITA,Att,Fiorentina,24-357,2000,23,22,1.927,21.4,15,2,17,14,1,2,5,0,12.7,11.1,1.7,12.9
280,Mandela Keita,be BEL,Cen,Parma,22-285,2002,17,11,739,8.2,0,1,1,0,0,0,6,1,0.0,0.0,0.6,0.7
281,Lloyd Kelly,eng ENG,Dif,Juventus,26-136,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
282,Marc-Oliver Kempf,de GER,Dif,Como,30-022,1995,20,19,1.698,18.9,0,0,0,0,0,0,3,0,0.8,0.8,1.0,1.7
283,Kialonda,ao ANG,Dif,Lecce,27-145,1997,15,15,1.350,15.0,0,1,1,0,0,0,3,0,1.0,1.0,0.3,1.3
284,Magnus Kofod Andersen,dk DEN,Cen,Venezia,25-285,1999,14,7,695,7.7,1,1,2,1,0,0,1,0,0.3,0.3,0.5,0.7
285,Sead Kolašinac,ba BIH,Dif,Atalanta,31-244,1993,16,16,1.326,14.7,0,1,1,0,0,0,5,0,0.7,0.7,1.0,1.7
286,Randal Kolo Muani,fr FRA,Att,Juventus,26-076,1998,4,4,351,3.9,5,1,6,4,1,1,0,0,2.2,1.5,0.3,1.7
287,Ismael Konate,ci CIV,Att.Cen,Empoli,18-327,2006,5,0,24,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
288,Manu Koné,fr FRA,Cen,Roma,23-278,2001,22,19,1.579,17.5,2,1,3,2,0,0,5,0,1.5,1.5,1.1,2.5
289,Teun Koopmeiners,nl NED,Cen.Att,Juventus,26-357,1998,21,19,1.614,17.9,1,3,4,1,0,0,3,0,3.4,3.4,2.5,5.9
290,Odilon Kossounou,ci CIV,Dif,Atalanta,24-046,2001,12,7,720,8.0,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.6
291,Christian Kouamé,ci CIV,Att.Cen,Fiorentina,27-075,1997,18,5,622,6.9,0,1,1,0,0,0,1,0,1.1,1.1,1.5,2.5
292,Christian Kouamé,ci CIV,Att,Empoli,27-075,1997,2,1,111,1.2,0,0,0,0,0,0,0,0,0.8,0.8,0.5,1.3
293,Viktor Kovalenko,ua UKR,Dif,Empoli,29-005,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
294,Mateusz Kowalski,pl POL,Cen,Parma,19-213,2005,1,1,56,0.6,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4
295,Thomas Kristensen,dk DEN,Dif,Udinese,23-033,2002,13,10,998,11.1,0,0,0,0,0,0,3,0,0.0,0.0,0.3,0.3
296,Nikola Krstović,me MNE,Att,Lecce,24-320,2000,25,25,2.057,22.9,7,3,10,6,1,2,2,0,8.7,7.1,1.7,8.8
297,Khvicha Kvaratskhelia,ge GEO,Att.Cen,Napoli,24-007,2001,17,15,1.178,13.1,5,3,8,4,1,1,1,0,4.1,3.4,3.7,7.0
298,Giorgos Kyriakopoulos,gr GRE,Dif,Monza,29-014,1996,22,21,1.850,20.6,2,3,5,2,0,0,4,0,0.5,0.5,2.2,2.7
299,Mathis Lambourde,fr FRA,Att.Cen,Hellas Verona,19-041,2006,5,0,52,0.6,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.2
300,Gianluca Lapadula,pe PER,Att.Cen,Cagliari,35-012,1990,12,1,310,3.4,0,0,0,0,0,0,1,0,1.4,1.4,0.1,1.4
