Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
301,Valentino Lazaro,at AUT,Dif.Cen,Torino,28-332,1996,24,19,1.683,18.7,0,5,5,0,0,0,3,0,0.7,0.7,2.7,3.4
302,Darko Lazović,rs SRB,Dif.Att,Hellas Verona,34-157,1990,23,17,1.370,15.2,1,3,4,0,1,1,0,0,2.0,1.2,3.4,4.6
303,Manuel Lazzari,it ITA,Dif,Lazio,31-082,1993,18,12,986,11.0,0,1,1,0,0,0,1,0,0.1,0.1,0.9,1.0
304,Enzo Le Fée,fr FRA,Cen,Roma,25-016,2000,6,4,318,3.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3
305,Nicola Leali,it ITA,Por,Genoa,32-002,1993,18,18,1.620,18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
306,Rafael Leão,pt POR,Att,Milan,25-254,1999,22,17,1.520,16.9,5,5,10,5,0,0,2,0,5.8,5.8,4.7,10.5
307,Stefan Lekovic,rs SRB,Dif,Monza,21-041,2004,3,2,197,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
308,Nunzio Lella,it ITA,Cen,Venezia,24-206,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
309,Giovanni Leoni,it ITA,Dif,Parma,18-060,2006,7,6,487,5.4,1,0,1,1,0,0,0,1,0.1,0.1,0.0,0.1
310,Ben Lhassine Kone,ci CIV,Cen,Como,24-342,2000,4,0,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
311,Mattia Liberali,it ITA,Cen,Milan,17-319,2007,1,1,61,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
312,Karol Linetty,pl POL,Cen,Torino,30-017,1995,20,15,1.259,14.0,1,0,1,1,0,0,6,0,0.6,0.6,0.2,0.8
313,Dailon Livramento,cv CPV,Att.Cen,Hellas Verona,23-291,2001,17,6,649,7.2,1,1,2,1,0,0,1,1,1.4,1.4,0.7,2.1
314,Stanislav Lobotka,sk SVK,Cen,Napoli,30-086,1994,21,20,1.783,19.8,0,1,1,0,0,0,3,0,0.2,0.2,0.9,1.1
315,Manuel Locatelli,it ITA,Cen,Juventus,27-042,1998,23,21,1.704,18.9,0,2,2,0,0,0,5,0,0.3,0.3,1.0,1.3
316,Ruben Loftus-Cheek,eng ENG,Cen,Milan,29-027,1996,13,6,682,7.6,0,0,0,0,0,0,1,0,0.5,0.5,1.4,1.8
317,Ademola Lookman,ng NGA,Att.Cen,Atalanta,27-122,1997,19,17,1.323,14.7,10,5,15,9,1,1,3,0,6.5,5.7,4.0,9.7
318,Sandi Lovrić,si SVN,Cen,Udinese,26-328,1998,24,22,1.606,17.8,2,3,5,2,0,0,2,0,2.2,2.2,2.3,4.5
319,Lorenzo Lucca,it ITA,Att,Udinese,24-162,2000,24,19,1.675,18.6,9,0,9,9,0,0,7,0,4.3,4.3,0.6,4.8
320,Jhon Lucumí,co COL,Dif,Bologna,26-238,1998,20,18,1.609,17.9,0,1,1,0,0,0,5,1,0.4,0.4,0.3,0.8
321,José Luis Palomino,ar ARG,Dif,Cagliari,35-045,1990,9,3,386,4.3,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5
322,Douglas Luiz,br BRA,Cen,Juventus,26-286,1998,14,3,468,5.2,0,0,0,0,0,0,2,0,0.6,0.6,0.6,1.2
323,Romelu Lukaku,be BEL,Att,Napoli,31-282,1993,23,22,1.768,19.6,9,7,16,6,3,4,1,0,9.2,6.0,2.1,8.1
324,Sebastiano Luperto,it ITA,Dif,Cagliari,28-166,1996,25,25,2.250,25.0,1,3,4,1,0,0,2,0,2.0,2.0,1.2,3.2
325,Zito Luvumbo,ao ANG,Att.Cen,Cagliari,22-347,2002,16,12,994,11.0,1,1,2,1,0,0,2,0,1.2,1.2,1.6,2.8
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
326,Charalambos Lykogiannis,gr GRE,Dif,Bologna,31-120,1993,12,9,745,8.3,0,4,4,0,0,0,2,0,0.1,0.1,1.3,1.4
327,Mathias Løvik,no NOR,Dif.Att,Parma,21-075,2003,2,0,39,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2
328,Giangiacomo Magnani,it ITA,Dif,Hellas Verona,29-138,1995,17,11,1.065,11.8,1,0,1,1,0,0,2,0,1.1,1.1,0.0,1.2
329,Mike Maignan,fr FRA,Por,Milan,29-231,1995,24,24,2.160,24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7
330,Antoine Makoumbou,cg CGO,Cen,Cagliari,26-216,1998,21,18,1.430,15.9,0,1,1,0,0,0,2,1,0.3,0.3,0.4,0.7
331,Daniel Maldini,it ITA,Cen.Att,Monza,23-131,2001,20,16,1.306,14.5,3,0,3,3,0,0,5,0,4.8,4.8,0.9,5.7
332,Youssef Maleh,ma MAR,Cen,Empoli,26-181,1998,20,15,1.338,14.9,0,1,1,0,0,0,4,1,0.8,0.8,0.9,1.7
333,Ruslan Malinovskyi,ua UKR,Cen.Att,Genoa,31-291,1993,5,2,224,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.7
334,Dennis Man,ro ROU,Att.Cen,Parma,26-177,1998,23,19,1.621,18.0,4,3,7,4,0,0,0,0,3.5,3.5,3.7,7.2
335,Gianluca Mancini,it ITA,Dif,Roma,28-308,1996,25,24,2.063,22.9,1,0,1,1,0,0,4,0,1.3,1.3,0.8,2.1
336,Rolando Mandragora,it ITA,Cen,Fiorentina,27-235,1997,17,10,909,10.1,1,2,3,0,1,1,4,0,1.2,0.5,1.6,2.1
337,Alberto Manzoni,it ITA,Cen,Atalanta,19-239,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
338,Alessandro Marcandalli,it ITA,Dif,Genoa,22-147,2002,2,1,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
339,Alessandro Marcandalli,it ITA,Dif,Venezia,22-147,2002,1,1,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
340,Filip Marchwiński,pl POL,Cen,Lecce,23-040,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
341,Pablo Marí,es ESP,Dif,Monza,31-172,1993,19,19,1.628,18.1,0,0,0,0,0,0,4,1,0.2,0.2,0.1,0.3
342,Luca Marianucci,it ITA,Dif,Empoli,20-211,2004,8,2,214,2.4,0,0,0,0,0,0,0,1,0.3,0.3,0.0,0.3
343,Mirko Marić,hr CRO,Att.Cen,Monza,29-279,1995,8,1,106,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2
344,Mirko Marić,hr CRO,Cen.Att,Venezia,29-279,1995,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
345,Rafa Marín,es ESP,Dif,Napoli,22-276,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
346,Răzvan Marin,ro ROU,Cen,Cagliari,28-272,1996,23,11,1.079,12.0,3,2,5,1,2,2,4,0,2.2,0.6,3.0,3.7
347,Guillermo Maripán,cl CHI,Dif,Torino,30-289,1994,15,14,1.170,13.0,1,0,1,1,0,0,0,1,0.7,0.7,0.3,1.0
348,Aarón Martín,es ESP,Dif,Genoa,27-303,1997,24,24,2.086,23.2,0,3,3,0,0,0,4,0,0.7,0.7,4.3,5.0
349,Lautaro Martínez,ar ARG,Att,Inter,27-181,1997,23,23,1.898,21.1,9,3,12,9,0,0,0,0,9.8,9.8,2.3,12.1
350,Lucas Martínez Quarta,ar ARG,Dif,Fiorentina,28-285,1996,8,4,351,3.9,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
351,Kevin Martins,it ITA,Cen.Dif,Monza,20-019,2005,8,1,148,1.6,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4
352,Adam Marušić,me MNE,Dif,Lazio,32-125,1992,23,14,1.418,15.8,3,0,3,3,0,0,1,0,1.5,1.5,0.4,1.9
353,Adam Masina,ma MAR,Dif,Torino,31-048,1994,20,15,1.452,16.1,1,2,3,1,0,0,5,0,0.2,0.2,0.3,0.5
354,Patrizio Masini,it ITA,Cen,Genoa,24-023,2001,13,4,501,5.6,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4
355,Alan Matturro,uy URU,Dif,Genoa,20-131,2004,9,8,742,8.2,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3
356,Luca Mazzitelli,it ITA,Cen,Como,29-096,1995,11,3,335,3.7,1,1,2,1,0,0,1,0,0.2,0.2,0.6,0.8
357,Pasquale Mazzocchi,it ITA,Dif.Att,Napoli,29-207,1995,16,6,611,6.8,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5
358,Samuel Mbangula,be BEL,Att,Juventus,21-034,2004,17,7,643,7.1,3,2,5,3,0,0,1,0,0.4,0.4,1.0,1.4
359,Weston McKennie,us USA,Cen.Dif,Juventus,26-175,1998,19,15,1.314,14.6,2,3,5,2,0,0,2,0,1.3,1.3,1.9,3.2
360,Scott McTominay,sct SCO,Cen,Napoli,28-073,1996,22,21,1.884,20.9,6,2,8,6,0,0,2,0,4.5,4.5,1.4,5.9
361,Filippo Melegoni,it ITA,Cen.Att,Genoa,26-001,1999,3,1,89,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5
362,Alex Meret,it ITA,Por,Napoli,27-334,1997,22,22,1.925,21.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
363,Junior Messias,br BRA,Cen.Att,Genoa,33-282,1991,8,4,446,5.0,1,1,2,1,0,1,1,0,2.0,1.0,0.3,1.3
364,Valentin Mihaila,ro ROU,Att.Cen,Parma,25-017,2000,21,16,1.288,14.3,0,3,3,0,0,0,2,0,2.4,2.4,1.2,3.6
365,Vanja Milinković-Savić,rs SRB,Por,Torino,27-365,1997,24,24,2.160,24.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1
366,Yerry Mina,co COL,Dif,Cagliari,30-149,1994,21,21,1.719,19.1,0,0,0,0,0,0,6,1,1.9,1.9,0.3,2.2
367,Juan Miranda,es ESP,Dif,Bologna,25-031,2000,20,14,1.339,14.9,0,4,4,0,0,0,3,0,0.3,0.3,4.0,4.3
368,Fabio Miretti,it ITA,Cen.Att,Genoa,21-200,2003,19,16,1.226,13.6,1,3,4,1,0,0,0,0,1.9,1.9,1.7,3.6
369,Henrikh Mkhitaryan,am ARM,Cen,Inter,36-029,1989,23,22,1.754,19.5,1,3,4,1,0,0,3,0,1.3,1.3,1.7,3.0
370,Rui Modesto,ao ANG,Dif,Udinese,25-135,1999,10,2,249,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
371,Lorenzo Montipò,it ITA,Por,Hellas Verona,28-365,1996,24,24,2.160,24.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
372,Álvaro Morata,es ESP,Att.Cen,Milan,32-119,1992,16,13,1.099,12.2,5,0,5,5,0,0,5,0,3.9,3.9,0.8,4.7
373,Alberto Moreno,es ESP,Dif,Como,32-229,1992,17,17,1.344,14.9,0,0,0,0,0,0,4,0,0.3,0.3,0.9,1.2
374,Matias Moreno,ar ARG,Dif,Fiorentina,21-148,2003,2,2,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
375,Tete Morente,es ESP,Att.Cen,Lecce,28-077,1996,21,14,1.288,14.3,3,1,4,3,0,0,2,0,2.1,2.1,0.7,2.8
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
376,Nikola Moro,hr CRO,Cen,Bologna,26-344,1998,16,12,979,10.9,0,2,2,0,0,0,0,0,0.5,0.5,0.8,1.3
377,Daniel Mosquera,co COL,Att,Hellas Verona,25-122,1999,23,6,826,9.2,4,1,5,4,0,0,2,0,3.9,3.9,1.3,5.1
378,Dany Mota,pt POR,Cen.Att,Monza,26-293,1998,20,15,1.290,14.3,4,0,4,4,0,0,2,0,2.8,2.8,0.8,3.7
379,Bob Murphy Omoregbe,it ITA,Cen,Milan,21-106,2003,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
380,Yunus Musah,us USA,Cen.Att,Milan,22-082,2002,19,11,1.085,12.1,0,2,2,0,0,0,3,0,1.0,1.0,1.4,2.3
381,Juan Musso,ar ARG,Por,Atalanta,30-289,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
382,Kingstone Mutandwa,zm ZAM,Cen.Att,Cagliari,22-045,2003,3,0,50,0.6,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3
383,Obite N'Dicka,ci CIV,Dif,Roma,25-183,1999,25,25,2.250,25.0,0,1,1,0,0,0,2,0,0.7,0.7,0.7,1.4
384,Konan N'dri,ci CIV,Att.Cen,Lecce,24-115,2000,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
385,Michel Ndary Adopo,fr FRA,Cen,Cagliari,24-215,2000,22,15,1.425,15.8,0,1,1,0,0,0,4,1,0.9,0.9,1.2,2.1
386,Cher Ndour,it ITA,Cen,Fiorentina,20-207,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
387,Dan Ndoye,ch SUI,Att,Bologna,24-117,2000,20,17,1.339,14.9,5,2,7,3,2,2,2,0,5.0,3.4,1.4,4.8
388,Victor Nelsson,dk DEN,Dif,Roma,26-128,1998,2,0,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
389,David Neres,br BRA,Att,Napoli,27-353,1997,22,10,981,10.9,2,4,6,2,0,0,1,0,1.9,1.9,2.5,4.4
390,Cyril Ngonge,be BEL,Att,Napoli,24-269,2000,9,1,151,1.7,0,0,0,0,0,0,1,0,0.6,0.6,0.4,0.9
391,Cheikh Niasse,sn SEN,Cen,Hellas Verona,25-031,2000,3,2,219,2.4,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.4
392,Hans Nicolussi Caviglia,it ITA,Cen,Venezia,24-246,2000,23,21,1.789,19.9,4,2,6,4,0,0,5,1,1.3,1.3,1.2,2.5
393,Eybi Nije,se SWE,Att.Cen,Torino,19-281,2005,16,0,394,4.4,1,0,1,1,0,0,1,0,1.5,1.5,0.4,1.9
394,Brooke Norton-Cuffy,eng ENG,Dif.Cen,Genoa,21-038,2004,6,1,151,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
395,Tijjani Noslin,nl NED,Att.Cen,Lazio,25-227,1999,20,7,634,7.0,2,2,4,2,0,0,2,0,1.2,1.2,1.1,2.3
396,Adam Obert,sk SVK,Dif,Cagliari,22-180,2002,14,9,754,8.4,1,1,2,1,0,0,2,0,0.9,0.9,0.4,1.2
397,Jens Odgaard,dk DEN,Cen.Att,Bologna,25-325,1999,20,17,1.359,15.1,4,0,4,4,0,0,1,0,2.4,2.4,1.2,3.6
398,Noah Okafor,ch SUI,Att,Napoli,24-271,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
399,Noah Okafor,ch SUI,Att,Milan,24-271,2000,11,5,414,4.6,1,0,1,1,0,0,0,0,1.5,1.5,0.3,1.9
400,Yllan Okou,fr FRA,Dif,Hellas Verona,22-058,2002,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
401,Maduka Okoye,ng NGA,Por,Udinese,25-175,1999,14,14,1.260,14.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
402,Mathías Olivera,uy URU,Dif,Napoli,27-111,1997,20,17,1.559,17.3,0,1,1,0,0,0,2,0,0.6,0.6,1.3,1.9
403,Jean Onana,cm CMR,Cen,Genoa,25-042,2000,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
404,Jacob Ondrejka,se SWE,Cen.Att,Parma,22-170,2002,3,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
405,Gaetano Oristanio,it ITA,Cen.Att,Venezia,22-144,2002,25,22,1.746,19.4,2,3,5,2,0,0,3,0,3.0,3.0,2.5,5.4
406,Riccardo Orsolini,it ITA,Att,Bologna,28-026,1997,17,13,1.052,11.7,7,3,10,5,2,2,0,0,5.5,3.9,2.5,6.4
407,Yordan Osorio,ve VEN,Dif,Parma,30-285,1994,3,2,172,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1
408,Remi Oudin,fr FRA,Cen.Att,Lecce,28-093,1996,11,3,299,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7
409,Cheick Oumar Conde,gn GUI,Cen,Venezia,24-208,2000,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
410,Daniel Oyegoke,eng ENG,Dif,Hellas Verona,22-047,2003,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
411,Simone Pafundi,it ITA,Cen,Udinese,19-005,2006,3,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
412,Tiago Palacios,ar ARG,Dif,Monza,21-297,2003,2,2,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
413,Tiago Palacios,ar ARG,Dif,Inter,21-297,2003,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
414,Alberto Paleari,it ITA,Por,Torino,32-174,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
415,Marco Palestra,it ITA,Dif,Atalanta,19-353,2005,7,0,104,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1
416,Leandro Paredes,ar ARG,Cen,Roma,30-235,1994,14,9,867,9.6,1,1,2,0,1,1,3,0,1.2,0.4,1.2,1.7
417,Fabiano Parisi,it ITA,Dif.Cen,Fiorentina,24-102,2000,16,4,526,5.8,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4
418,Mario Pašalić,hr CRO,Cen,Atalanta,30-010,1995,22,16,1.355,15.1,2,2,4,2,0,1,1,0,5.5,4.7,2.4,7.1
419,Patric,es ESP,Dif,Lazio,31-308,1993,8,5,585,6.5,1,0,1,1,0,0,2,0,1.1,1.1,0.0,1.1
420,Rui Patrício,pt POR,Por,Atalanta,37-004,1988,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
421,Benjamin Pavard,fr FRA,Dif,Inter,28-328,1996,16,12,1.125,12.5,0,1,1,0,0,0,3,0,0.4,0.4,0.4,0.8
422,Strahinja Pavlović,rs SRB,Dif,Milan,23-271,2001,13,10,924,10.3,1,1,2,1,0,0,2,0,1.0,1.0,1.1,2.0
423,Leonardo Pavoletti,it ITA,Att.Cen,Cagliari,36-085,1988,18,0,290,3.2,1,0,1,1,0,0,2,0,1.7,1.7,0.9,2.6
424,Martín Payero,ar ARG,Cen,Udinese,26-161,1998,16,12,974,10.8,1,1,2,1,0,0,2,0,0.8,0.8,0.9,1.6
425,Nicolás Paz,ar ARG,Cen.Att,Como,20-164,2004,23,19,1.727,19.2,6,3,9,6,0,1,3,0,7.4,6.6,3.8,10.4
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
426,Marcus Pedersen,no NOR,Dif,Torino,24-218,2000,20,12,1.066,11.8,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9
427,Pedro,es ESP,Att.Cen,Lazio,37-206,1987,18,5,672,7.5,5,0,5,5,0,0,2,0,2.4,2.4,0.9,3.3
428,Pietro Pellegri,it ITA,Att,Empoli,23-339,2001,11,5,414,4.6,3,0,3,3,0,0,2,0,0.3,0.3,0.6,0.9
429,Lorenzo Pellegrini,it ITA,Cen,Roma,28-245,1996,19,14,1.250,13.9,2,1,3,1,1,1,4,0,4.1,3.3,1.7,4.9
430,Luca Pellegrini,it ITA,Dif,Lazio,25-349,1999,14,5,545,6.1,0,1,1,0,0,0,2,0,0.2,0.2,0.8,1.0
431,Andy Pelmard,fr FRA,Dif,Lecce,24-344,2000,3,1,129,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
432,Pedro Pereira,pt POR,Dif,Monza,27-028,1998,23,20,1.630,18.1,1,3,4,1,0,0,7,0,1.2,1.2,1.1,2.4
433,Gastón Pereiro,uy URU,Cen,Genoa,29-253,1995,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
434,Kike Pérez,es ESP,Cen,Venezia,28-005,1997,3,2,190,2.1,0,0,0,0,0,0,1,0,0.5,0.5,0.6,1.1
435,Nehuén Pérez,ar ARG,Dif,Udinese,24-240,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
436,Simone Perilli,it ITA,Por,Hellas Verona,30-043,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
437,Mattia Perin,it ITA,Por,Juventus,32-101,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
438,Máximo Perrone,ar ARG,Cen,Como,22-043,2003,14,11,990,11.0,0,1,1,0,0,0,3,0,0.7,0.7,0.7,1.4
439,Matteo Pessina,it ITA,Cen,Monza,27-304,1997,11,10,854,9.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3
440,Andrea Petagna,it ITA,Att,Monza,29-234,1995,7,2,214,2.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2
441,Giuseppe Pezzella,it ITA,Dif.Att,Empoli,27-082,1997,23,22,1.798,20.0,0,2,2,0,0,0,5,0,0.4,0.4,2.1,2.5
442,Roberto Piccoli,it ITA,Att,Cagliari,24-023,2001,25,25,2.080,23.1,6,0,6,5,1,1,3,0,8.4,7.6,0.6,8.2
443,Nicholas Pierini,it ITA,Cen,Venezia,26-197,1998,2,0,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1
444,Santiago Pierotti,ar ARG,Att,Lecce,23-322,2001,24,12,1.273,14.1,4,2,6,4,0,0,4,0,2.4,2.4,1.5,3.8
445,Balthazar Pierret,fr FRA,Cen,Lecce,24-280,2000,20,14,1.106,12.3,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4
446,Andrea Pinamonti,it ITA,Att,Genoa,25-276,1999,24,23,1.969,21.9,8,1,9,8,0,1,3,0,6.1,5.4,1.5,6.9
447,Niccolò Pisilli,it ITA,Cen,Roma,20-149,2004,20,10,1.002,11.1,2,1,3,2,0,0,6,0,1.7,1.7,0.6,2.3
448,Semuel Pizzignacco,it ITA,Por,Monza,23-171,2001,5,4,384,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
449,Tommaso Pobega,it ITA,Cen,Bologna,25-219,1999,11,9,741,8.2,2,1,3,2,0,0,6,2,1.7,1.5,0.3,1.8
450,Joel Pohjanpalo,fi FIN,Att,Venezia,30-159,1994,20,19,1.603,17.8,6,0,6,3,3,4,1,0,7.5,4.3,1.7,6.0
